cashup_id,restaurant_id,bod_amount,sales,expenses,tax,delivery_charges,eod_amount,match,banking_id,cash_up_date,cashup_status
1,1,0.0,2646.19,1742.18,225.98,92.77000000000001,811.24,True,1,2024-01-01,Completed
2,1,52.18000000000006,2749.88,1755.78,234.81,95.92,950.3600000000005,True,2,2024-01-02,Completed
3,1,178.5600000000005,2707.17,1166.33,230.56,78.7,1640.700000000001,True,3,2024-01-03,Completed
4,1,193.2800000000004,2939.86,1909.1,249.07,52.71,1171.33,True,4,2024-01-04,Completed
5,1,789.6400000000003,2693.0,1707.93,229.29,76.85,1697.86,True,5,2024-01-05,Completed
6,1,652.9800000000002,2693.18,2833.08,229.48,81.48,431.5999999999999,True,6,2024-01-06,Completed
7,1,17.56999999999994,2964.37,2684.29,253.8,119.88,177.7700000000006,True,7,2024-01-07,Completed
8,1,151.3900000000006,2632.73,1422.75,226.79,140.85,1220.520000000001,True,8,2024-01-08,Completed
9,1,662.3200000000008,2978.68,2212.86,254.05,96.01,1332.130000000001,True,9,2024-01-09,Completed
10,1,894.7400000000008,2721.26,3355.72,233.93,133.89,126.3900000000007,True,10,2024-01-10,Completed
11,1,24.34000000000067,2682.02,2955.58,228.68,84.56,-333.7799999999993,True,11,2024-01-11,Completed
12,1,-343.7799999999993,2777.62,1981.5,236.45,77.76,374.5800000000006,True,12,2024-01-12,Completed
13,1,2.540000000000589,2626.71,2314.46,225.19,113.99,200.8000000000004,True,13,2024-01-13,Completed
14,1,64.4700000000004,2848.54,2843.99,245.59,157.91,-88.89000000000001,True,14,2024-01-14,Completed
15,1,-98.89000000000001,3021.4,2532.59,258.14,108.17,281.7500000000001,True,15,2024-01-15,Completed
16,1,41.15000000000006,3051.82,2606.86,261.14,119.81,366.2999999999997,True,16,2024-01-16,Completed
17,1,290.0499999999997,2981.18,1414.96,256.41,149.62,1706.65,True,17,2024-01-17,Completed
18,1,95.13999999999965,2718.01,2759.87,232.69,109.53,-56.25000000000026,True,18,2024-01-18,Completed
19,1,-66.25000000000026,2801.76,2760.46,240.15,119.98,-144.9300000000007,True,19,2024-01-19,Completed
20,1,-154.9300000000007,2999.8,2003.43,256.27,107.34,734.0999999999993,True,20,2024-01-20,Completed
21,1,321.1699999999993,2880.47,2058.3,244.37,61.05,1082.289999999999,True,21,2024-01-21,Completed
22,1,966.7699999999993,2789.97,2477.31,238.45,102.36,1177.07,True,22,2024-01-22,Completed
23,1,822.02,3058.35,2215.99,263.83,173.08,1491.3,True,23,2024-01-23,Completed
24,1,582.1500000000002,2716.59,2291.99,232.98,119.83,886.9200000000004,True,24,2024-01-24,Completed
25,1,257.2800000000004,2771.77,1929.86,236.68,95.67,1003.52,True,25,2024-01-25,Completed
26,1,838.6500000000003,2727.87,1624.78,232.85,92.6,1849.140000000001,True,26,2024-01-26,Completed
27,1,1828.380000000001,2787.92,1345.55,238.11,97.99,3172.760000000001,True,27,2024-01-27,Completed
28,1,2521.940000000001,2846.67,1447.84,245.99,171.57,3749.2,True,28,2024-01-28,Completed
29,1,378.2800000000002,2746.57,3950.51,234.18,86.09,-911.7500000000003,True,29,2024-01-29,Completed
30,1,-921.7500000000003,2603.28,2667.06,222.99,107.59,-1093.120000000001,True,30,2024-01-30,Completed
31,1,-1103.120000000001,2852.42,1897.01,244.95,133.82,-281.5300000000005,True,31,2024-01-31,Completed
32,1,-291.5300000000005,2505.43,3270.75,215.94,136.92,-1193.77,True,32,2024-02-01,Completed
33,1,-1203.77,2676.04,2311.85,226.97,54.11,-893.6900000000004,True,33,2024-02-02,Completed
34,1,-903.6900000000004,2482.22,1150.5,212.53,100.18,327.8499999999997,True,34,2024-02-03,Completed
35,1,215.1299999999997,2573.28,1533.36,220.16,100.07,1154.98,True,35,2024-02-04,Completed
36,1,353.0799999999996,3000.9,1315.83,255.5,85.26,1952.889999999999,True,36,2024-02-05,Completed
37,1,1105.369999999999,2664.52,2058.04,226.85,75.31,1636.54,True,37,2024-02-06,Completed
38,1,505.5999999999995,2706.7,1238.97,229.93,63.48999999999999,1909.839999999999,True,38,2024-02-07,Completed
39,1,227.5599999999993,3138.26,1632.35,268.33,117.6,1615.87,True,39,2024-02-08,Completed
40,1,884.6899999999999,2996.95,1360.61,258.73,174.49,2346.54,True,40,2024-02-09,Completed
41,1,691.24,2834.5,2866.58,244.28,154.56,504.5999999999999,True,41,2024-02-10,Completed
42,1,467.5399999999998,2599.48,1964.08,221.35,74.94,1028.0,True,42,2024-02-11,Completed
43,1,574.37,2830.27,3028.66,242.9,129.02,246.96,True,43,2024-02-12,Completed
44,1,44.03,2845.66,2364.2,242.61,89.75999999999999,435.7300000000007,True,44,2024-02-13,Completed
45,1,32.72000000000071,2586.99,1872.91,221.3,99.52,647.2800000000004,True,45,2024-02-14,Completed
46,1,469.5300000000004,2838.3,1964.06,244.49,151.91,1191.86,True,46,2024-02-15,Completed
47,1,976.9499999999999,2729.06,1520.22,234.98,142.91,2042.88,True,47,2024-02-16,Completed
